PatchNumber	xGK9	yGK9	AltitudeReal
1	9637931.66	5847960.23	242.8
2	9637977.95	5847969.78	239.44
3	9638036.13	5847982.75	235.7
4	9638095.77	5847997.21	231.38
5	9638142.70	5848009.77	228.58
6	9638202.03	5848026.46	225.79
7	9638068.39	5848183.65	235.88
8	9638207.20	5848132.26	227.62
9	9638265.94	5847990.39	222.62
10	9638206.51	5847849.94	224.49
11	9638066.65	5847797.70	236.36
12	9637923.10	5847850.70	239.85
13	9637866.62	5847992.67	242.68
14	9637924.45	5848133.65	243.82
15	9638064.91	5848389.90	236.8
16	9638264.95	5848337.37	224.63
17	9638411.32	5848191.74	218.22
18	9638465.44	5847990.81	211.48
19	9638414.83	5847793.11	210.63
20	9638266.09	5847642.64	221.02
21	9638065.52	5847594.80	233.9
22	9637865.86	5847645.86	233.73
23	9637743.23	5847806.55	225.96
24	9637649.73	5848010.51	236.48
25	9637720.63	5848189.98	260.85
26	9637865.31	5848337.62	249.95
27	9638220.61	5848571.54	227.17
28	9638490.45	5848414.88	210
29	9638644.45	5848148.87	202.24
30	9638644.33	5847835.62	198.98
31	9638490.02	5847568.17	205.53
32	9638221.36	5847414.76	227.11
33	9637910.74	5847411.87	223.54
34	9637642.61	5847569.15	208.88
35	9637483.65	5847841.31	215.64
36	9637488.00	5848158.78	233.61
37	9637642.03	5848415.96	243.86
38	9637909.64	5848570.28	247.8
39	9638065.79	5848791.93	241.11
40	9638466.52	5848684.89	213.15
41	9638758.16	5848390.26	199.31
42	9638856.75	5847990.22	190.67
43	9638758.46	5847591.92	189.54
44	9638464.82	5847296.68	211.21
45	9638065.65	5847191.11	235.93
46	9637665.80	5847297.98	213.36
47	9637372.50	5847595.29	198.21
48	9637265.53	5847991.39	202.74
49	9637372.91	5848397.95	213.33
50	9637666.77	5848685.00	248.88
51	9638324.65	5848958.14	227.59
52	9638771.01	5848697.32	200.96
53	9638966.49	5848238.58	192.71
54	9639016.87	5847739.03	185.05
55	9638771.14	5847284.48	189.98
56	9638324.50	5847026.30	226.83
57	9637807.00	5847025.15	218.53
58	9637353.23	5847288.92	203.8
59	9637100.75	5847734.66	189.41
60	9637098.96	5848250.16	206.23
61	9637324.26	5848732.32	236.79
62	9637805.53	5848958.96	272.28
63	9638065.89	5849192.64	262.66
64	9638666.31	5849030.83	216.91
65	9639265.14	5848578.14	209.75
66	9639264.75	5847991.10	196.36
67	9639098.30	5847356.65	180.51
68	9638663.79	5846951.76	196.79
69	9638075.76	5846807.92	235.61
70	9637465.13	5846952.44	202.17
71	9637025.11	5847397.71	188.92
72	9636878.70	5847984.63	199.15
73	9637025.81	5848590.78	245.83
74	9637523.46	5848979.42	247.53

