h_vert	h_abs	V
0	235	1032
14	221	1086
24	211	1165
34	201	1260
44	191	1390
54	181	1651
64	171	1866
74	161	2046
84	151	2324
94	141	2648
104	131	2499
114	121	2748
124	111	3015
134	101	3299
144	91	2964
154	81	3144
164	71	2476
174	61	2550
184	51	2619
194	41	2586
204	31	2640
214	21	2606
224	11	2650
234	1	2690
244	-9	2459
284	-49	2757
344	-109	3300
404	-169	3122
434	-199	3837
514	-279	5461
554	-319	4731
584	-349	4888
634	-399	4305
674	-439	3909
704	-469	4342
764	-529	5749
804	-569	5022
854	-619	5240
934	-699	6539
1024	-789	5280
1084	-849	5657
1114	-879	6585
1134	-899	6202
1154	-919	5654
1204	-969	6220
1284	-1049	7102
1324	-1089	5354
1354	-1119	6238
1394	-1159	5005
1414	-1179	6245
1474	-1239	5012
1494	-1259	6250
1524	-1289	5014
1604	-1369	5372
1664	-1429	4707
1724	-1489	6265
1754	-1519	4708
1774	-1539	6623
1784	-1549	5376
1794	-1559	3539
1824	-1589	4189
1834	-1599	5379
1844	-1609	6266
1854	-1619	4708
1864	-1629	5382
1874	-1639	4710
1894	-1659	4189
1904	-1669	4710
